DATASET,Cora-ML,GFSCIL,,,,,
Times,1,2,3,4,5,Mean,Std
Base Training,100%,100%,100%,100%,100%,100,0
Streaming:1,91.76%,90.21%,89.57%,89.42%,89.81%,90.15%,0.85
Streaming:2,89.15%,90.03%,86.05%,85.61%,88.32%,87.83%,1.73
Streaming:3,82.67%,87.07%,82.85%,85.80%,79.94%,83.66%,2.51
Streaming:4,73.35%,80.64%,73.95%,77.53%,77.32%,76.56%,2.66
Streaming:5,72.29%,75.29%,77.32%,75.38%,74.88%,75.03%,1.61
Base Training seed,925,710,210,500,100,,
stream seed start,"[510, 410, 830, 780, 315, 900, 795, 123, 721, 945]","[310, 110, 230, 180, 715, 600, 295, 523, 821, 145]","[110, 910, 430, 480, 515, 610, 195, 123, 121, 345]","[725, 610, 490, 580, 535, 710, 295, 133, 141, 345]","[425, 310, 20,180, 535, 110, 195, 233, 541, 945]",,
fix  seed,"[42, 56, 72, 84, 32, 60, 126, 141, 12, 10]","[32, 46, 62, 74, 22, 50, 326, 441, 112, 110]","[102, 146, 162, 174, 122, 150, 126, 141, 162, 310]","[22, 46, 1002, 124, 182, 170, 166, 441, 362, 710]","[52, 46, 11, 24, 52, 70, 66, 41, 162, 1110]",,
,,,,,,,
DATASET,Cora-ML,GFSCIL + semantics,,,,,
Times,1,2,3,4,5,Mean,Std
Base Training,100%,100%,100%,100%,100%,100%,0
Streaming:1,94.50%,92.51%,85.22%,91.79%,93.17%,91.43%,3.23
Streaming:2,93.65%,88.52%,86.09%,83.93%,91.30%,88.69%,3.48
Streaming:3,82.09%,89.29%,84.36%,86.20%,77.90%,84%,3.84
Streaming:4,74.25%,78.53%,75.11%,80.96%,75.74%,76.92%,2.47
Streaming:5,68.70%,66.29%,75.61%,76.79%,74.44%,72.40%,4.11
Base Training seed,925,710,210,500,100,,
stream seed start,"[510, 410, 830, 780, 315, 900, 795, 123, 721, 945]","[310, 110, 230, 180, 715, 600, 295, 523, 821, 145]","[110, 910, 430, 480, 515, 610, 195, 123, 121, 345]","[725, 610, 490, 580, 535, 710, 295, 133, 141, 345]","[425, 310, 20,180, 535, 110, 195, 233, 541, 945]",,
fix  seed,"[42, 56, 72, 84, 32, 60, 126, 141, 12, 10]","[32, 46, 62, 74, 22, 50, 326, 441, 112, 110]","[102, 146, 162, 174, 122, 150, 126, 141, 162, 310]","[22, 46, 1002, 124, 182, 170, 166, 441, 362, 710]","[52, 46, 11, 24, 52, 70, 66, 41, 162, 1110]",,
,,,,,,,
DATASET,Amazon,GFSCIL,,,,,
Times,1,2,3,4,5,Mean,Std
Base Training,96%,97%,96%,97%,96.84%,96.61%,0.37
Streaming:1,90.27%,90.90%,92.30%,90.34%,90.78%,90.91%,0.73
Streaming:2,88.22%,90.71%,87.14%,90.50%,87.88%,88.89%,1.45
Streaming:3,82.82%,88.63%,84.86%,83.30%,83.14%,84.55%,2.16
Streaming:4,76.76%,81.47%,78.72%,81.78%,75.38%,78.82%,2.52
Streaming:5,70.84%,72.26%,76.52%,74.93%,74.52%,73.81%,2.01
Base Training seed,925,710,210,500,100,,
stream seed start,"[510, 410, 830, 780, 315, 900, 795, 123, 721, 945]","[310, 110, 230, 180, 715, 600, 295, 523, 821, 145]","[110, 910, 430, 480, 515, 610, 195, 123, 121, 345]","[725, 610, 490, 580, 535, 710, 295, 133, 141, 345]","[425, 310, 20,180, 535, 110, 195, 233, 541, 945]",,
fix  seed,"[42, 56, 72, 84, 32, 60, 126, 141, 12, 10]","[32, 46, 62, 74, 22, 50, 326, 441, 112, 110]","[102, 146, 162, 174, 122, 150, 126, 141, 162, 310]","[22, 46, 1002, 124, 182, 170, 166, 441, 362, 710]","[52, 46, 11, 24, 52, 70, 66, 41, 162, 1110]",,
,,,,,,,
DATASET,OBGN-Arxiv,GFSCIL + semantics,,,,,
Times,1,2,3,4,5,Mean,Std
Base Training,82%,81%,84%,84%,84.29%,82.91%,1.17
Streaming:1,71.88%,72.03%,69.28%,69.22%,68.58%,70.20%,1.46
